month,day,weekday,hr,min,lat,lng,act,tot,title
12,4,1,0,0,25.02605,121.5436,1,28,20231204_500101001_00:00
12,4,1,0,20,25.02605,121.5436,1,28,20231204_500101001_00:20
12,4,1,0,40,25.02605,121.5436,1,28,20231204_500101001_00:40
12,4,1,1,0,25.02605,121.5436,1,28,20231204_500101001_01:00
12,4,1,1,20,25.02605,121.5436,1,28,20231204_500101001_01:20
12,4,1,1,40,25.02605,121.5436,1,28,20231204_500101001_01:40
12,4,1,2,0,25.02605,121.5436,1,28,20231204_500101001_02:00
12,4,1,2,20,25.02605,121.5436,1,28,20231204_500101001_02:20
12,4,1,2,40,25.02605,121.5436,1,28,20231204_500101001_02:40
12,4,1,3,0,25.02605,121.5436,1,28,20231204_500101001_03:00
12,4,1,3,20,25.02605,121.5436,1,28,20231204_500101001_03:20
12,4,1,3,40,25.02605,121.5436,1,28,20231204_500101001_03:40
12,4,1,4,0,25.02605,121.5436,1,28,20231204_500101001_04:00
12,4,1,4,20,25.02605,121.5436,1,28,20231204_500101001_04:20
12,4,1,4,40,25.02605,121.5436,1,28,20231204_500101001_04:40
12,4,1,5,0,25.02605,121.5436,1,28,20231204_500101001_05:00
12,4,1,5,20,25.02605,121.5436,1,28,20231204_500101001_05:20
12,4,1,5,40,25.02605,121.5436,1,28,20231204_500101001_05:40
12,4,1,6,0,25.02605,121.5436,1,28,20231204_500101001_06:00
12,4,1,6,20,25.02605,121.5436,1,28,20231204_500101001_06:20
12,4,1,6,40,25.02605,121.5436,1,28,20231204_500101001_06:40
12,4,1,7,0,25.02605,121.5436,1,28,20231204_500101001_07:00
12,4,1,7,20,25.02605,121.5436,1,28,20231204_500101001_07:20
12,4,1,7,40,25.02605,121.5436,1,28,20231204_500101001_07:40
12,4,1,8,0,25.02605,121.5436,1,28,20231204_500101001_08:00
12,4,1,8,20,25.02605,121.5436,1,28,20231204_500101001_08:20
12,4,1,8,40,25.02605,121.5436,1,28,20231204_500101001_08:40
12,4,1,9,0,25.02605,121.5436,1,28,20231204_500101001_09:00
12,4,1,9,20,25.02605,121.5436,1,28,20231204_500101001_09:20
12,4,1,9,40,25.02605,121.5436,1,28,20231204_500101001_09:40
12,4,1,10,0,25.02605,121.5436,1,28,20231204_500101001_10:00
12,4,1,10,20,25.02605,121.5436,1,28,20231204_500101001_10:20
12,4,1,10,40,25.02605,121.5436,1,28,20231204_500101001_10:40
12,4,1,11,0,25.02605,121.5436,1,28,20231204_500101001_11:00
12,4,1,11,20,25.02605,121.5436,1,28,20231204_500101001_11:20
12,4,1,11,40,25.02605,121.5436,1,28,20231204_500101001_11:40
12,4,1,12,0,25.02605,121.5436,1,28,20231204_500101001_12:00
12,4,1,12,20,25.02605,121.5436,1,28,20231204_500101001_12:20
12,4,1,12,40,25.02605,121.5436,1,28,20231204_500101001_12:40
12,4,1,13,0,25.02605,121.5436,1,28,20231204_500101001_13:00
12,4,1,13,20,25.02605,121.5436,1,28,20231204_500101001_13:20
12,4,1,13,40,25.02605,121.5436,1,28,20231204_500101001_13:40
12,4,1,14,0,25.02605,121.5436,1,28,20231204_500101001_14:00
12,4,1,14,20,25.02605,121.5436,1,28,20231204_500101001_14:20
12,4,1,14,40,25.02605,121.5436,1,28,20231204_500101001_14:40
12,4,1,15,0,25.02605,121.5436,1,28,20231204_500101001_15:00
12,4,1,15,20,25.02605,121.5436,1,28,20231204_500101001_15:20
12,4,1,15,40,25.02605,121.5436,1,28,20231204_500101001_15:40
12,4,1,16,0,25.02605,121.5436,1,28,20231204_500101001_16:00
12,4,1,16,20,25.02605,121.5436,1,28,20231204_500101001_16:20
12,4,1,16,40,25.02605,121.5436,1,28,20231204_500101001_16:40
12,4,1,17,0,25.02605,121.5436,1,28,20231204_500101001_17:00
12,4,1,17,20,25.02605,121.5436,1,28,20231204_500101001_17:20
12,4,1,17,40,25.02605,121.5436,1,28,20231204_500101001_17:40
12,4,1,18,0,25.02605,121.5436,1,28,20231204_500101001_18:00
12,4,1,18,20,25.02605,121.5436,1,28,20231204_500101001_18:20
12,4,1,18,40,25.02605,121.5436,1,28,20231204_500101001_18:40
12,4,1,19,0,25.02605,121.5436,1,28,20231204_500101001_19:00
12,4,1,19,20,25.02605,121.5436,1,28,20231204_500101001_19:20
12,4,1,19,40,25.02605,121.5436,1,28,20231204_500101001_19:40
12,4,1,20,0,25.02605,121.5436,1,28,20231204_500101001_20:00
12,4,1,20,20,25.02605,121.5436,1,28,20231204_500101001_20:20
12,4,1,20,40,25.02605,121.5436,1,28,20231204_500101001_20:40
12,4,1,21,0,25.02605,121.5436,1,28,20231204_500101001_21:00
12,4,1,21,20,25.02605,121.5436,1,28,20231204_500101001_21:20
12,4,1,21,40,25.02605,121.5436,1,28,20231204_500101001_21:40
12,4,1,22,0,25.02605,121.5436,1,28,20231204_500101001_22:00
12,4,1,22,20,25.02605,121.5436,1,28,20231204_500101001_22:20
12,4,1,22,40,25.02605,121.5436,1,28,20231204_500101001_22:40
12,4,1,23,0,25.02605,121.5436,1,28,20231204_500101001_23:00
12,4,1,23,20,25.02605,121.5436,1,28,20231204_500101001_23:20
12,4,1,23,40,25.02605,121.5436,1,28,20231204_500101001_23:40
12,5,2,0,0,25.02605,121.5436,1,28,20231205_500101001_00:00
